,ID,players_turn,decision_consistency,coalition_suggestion,C0,C1,C2,C3,C4,C5,C6,S0,S1,S2,S3,S4,S5,S6,R0,R1,R2,R3,R4,R5,R6,round_num,CP,in_cp,Reward
4,103,1,1,1,0,1,2,1,3,4,5,1,0,0,0,0,0,1,0,1,2,1,3,4,0,3,-1,2,1.5
5,103,1,1,1,0,1,2,1,3,4,0,1,1,0,1,0,0,0,0,1,2,1,3,4,0,4,-1,2,1.5
6,103,1,1,0,0,1,2,1,3,2,0,1,0,1,0,1,1,1,0,1,2,1,3,2,0,5,2,2,1.5
7,103,1,0,0,0,1,2,1,3,2,0,1,0,1,1,0,1,1,0,1,2,1,3,2,0,6,2,2,1.5
8,103,1,0,1,0,1,2,1,3,2,0,1,0,1,0,0,1,1,0,1,2,1,3,2,0,7,2,2,1.5
9,103,2,2,2,0,1,2,1,3,2,0,0,0,0,0,0,0,0,0,1,2,1,3,2,0,7,2,2,1.5
2,104,1,1,0,0,1,2,3,4,5,6,1,1,1,0,0,0,0,0,0,0,1,2,3,4,1,-1,0,2
3,104,0,1,0,0,0,0,1,2,3,4,1,0,0,0,0,1,0,0,0,0,1,2,3,4,2,-1,0,2
4,104,2,2,2,0,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,1,2,3,1,7,-1,0,2
2,105,1,1,1,0,1,2,3,4,5,6,1,1,0,0,0,0,0,0,0,1,2,3,4,5,1,-1,-1,1.5
3,105,2,2,2,0,0,1,2,3,4,5,0,0,0,0,0,0,0,0,0,1,2,3,4,5,1,-1,-1,1.5
2,11,1,1,0,0,1,2,3,4,5,6,1,1,0,1,0,0,0,0,0,1,0,2,3,4,1,-1,-1,1.666666667
3,11,2,2,2,0,0,1,0,2,3,1,0,0,0,0,0,0,0,0,0,1,0,2,3,1,1,-1,-1,1.666666667
2,12,1,0,0,0,1,2,3,4,5,6,1,1,0,0,0,0,1,0,0,1,2,3,4,0,1,-1,-1,1
3,12,0,1,1,0,0,1,2,3,4,0,1,1,0,0,0,0,0,0,0,1,2,3,4,5,1,-1,-1,1.5
4,12,1,1,0,0,0,1,2,3,4,5,1,1,0,1,0,0,1,0,0,1,0,2,3,0,2,-1,-1,1.75
5,12,2,2,2,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,2,-1,-1,1.75
2,13,1,1,1,0,1,2,3,4,5,6,1,0,0,0,0,1,0,0,1,2,3,4,0,5,1,-1,3,1.5
3,13,1,1,0,0,1,2,3,4,0,5,1,1,0,1,0,0,0,0,0,1,0,2,3,4,2,-1,-1,1.666666667
4,13,1,1,1,0,0,1,0,2,3,4,1,1,0,1,1,0,0,0,0,1,0,2,3,4,3,-1,-1,1.666666667
5,13,1,1,0,0,1,2,1,3,4,5,1,0,0,0,0,1,1,0,1,2,1,3,0,0,4,-1,-1,1.333333333
6,13,0,1,1,0,1,2,1,3,0,0,1,0,0,0,0,0,1,0,1,2,1,3,4,0,4,-1,2,1.5
7,13,1,1,0,0,1,2,1,3,4,0,1,1,1,0,0,0,0,0,1,2,1,3,4,0,5,-1,2,1.5
8,13,1,1,0,0,1,2,1,3,2,0,1,1,0,1,1,0,0,0,1,2,1,3,2,0,6,2,2,1.5
9,13,2,2,2,0,1,2,1,3,2,0,0,0,0,0,0,0,0,0,1,2,1,3,2,0,9,2,2,1.5
2,14,1,1,0,0,1,2,3,4,5,6,1,0,0,0,1,0,1,0,1,2,3,4,5,6,1,-1,-1,1
3,14,0,1,1,0,1,2,3,4,5,6,1,0,0,0,0,1,0,0,1,2,3,4,0,5,1,-1,3,1.5
4,14,2,2,2,0,1,1,2,3,0,4,0,0,0,0,0,0,0,0,1,1,2,3,0,4,2,-1,3,1.5
2,15,1,1,0,0,1,2,3,4,5,6,1,1,0,1,0,0,0,0,0,1,0,2,3,4,1,-1,-1,1.666666667
3,15,0,1,1,0,0,1,0,2,3,4,1,1,0,1,0,1,0,0,0,1,0,2,0,3,1,-1,-1,1.75
4,15,1,0,1,0,0,1,0,2,0,3,1,1,1,1,0,1,0,0,0,1,0,2,0,3,2,-1,-1,1.75
5,15,0,0,1,0,0,1,0,2,0,3,1,0,0,0,0,0,1,0,1,2,1,3,1,0,2,-1,2,1.5
6,15,1,1,1,0,1,2,1,3,1,0,1,0,0,0,1,0,1,0,1,2,1,3,1,0,3,-1,2,1.5
7,15,1,1,0,0,1,2,1,3,1,0,1,1,0,1,0,0,1,0,0,1,0,2,3,0,4,-1,-1,1.75
8,15,1,1,1,0,0,1,0,2,3,0,1,1,0,1,1,0,1,0,0,1,0,2,3,0,5,-1,-1,1.75
9,15,2,2,2,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,5,-1,-1,1.75
2,16,1,1,1,0,1,2,3,4,5,6,1,0,0,0,0,0,1,0,1,2,3,4,5,0,1,-1,2,1.5
3,16,0,1,0,0,1,2,3,4,5,0,1,0,0,0,0,1,0,0,1,2,3,4,5,0,1,-1,2,1.5
4,16,2,2,2,0,1,2,3,4,5,0,0,0,0,0,0,0,0,0,1,2,3,4,5,0,1,-1,2,1.5
2,17,1,1,0,0,1,2,3,4,5,6,1,1,0,1,0,0,0,0,0,1,0,2,3,4,1,-1,-1,1.666666667
3,17,0,1,1,0,0,1,0,2,3,4,1,1,0,1,0,1,0,0,0,1,0,2,0,3,1,-1,-1,1.75
4,17,2,2,2,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,3,2,-1,-1,1.75
2,2,1,1,0,0,1,2,3,4,5,6,1,1,1,0,0,0,0,0,0,0,1,2,3,4,1,-1,0,2
3,2,0,1,0,0,0,0,1,2,3,1,1,0,0,0,0,0,1,0,0,0,1,2,3,1,4,-1,0,2
4,2,2,2,2,0,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,1,2,3,1,4,-1,0,2
2,201,1,1,1,0,1,2,3,4,5,6,1,0,0,0,0,1,0,0,1,2,3,4,0,5,1,-1,3,1.5
3,201,2,2,2,0,1,1,2,3,0,4,0,0,0,0,0,0,0,0,1,1,2,3,0,4,2,-1,3,1.5
2,202,1,1,1,0,1,2,3,4,5,6,1,0,0,0,1,0,0,0,1,2,3,4,5,6,1,-1,-1,1
3,202,0,0,0,0,1,2,3,4,5,6,1,0,0,0,0,1,0,0,1,2,3,4,5,6,1,-1,-1,1
4,202,1,1,0,0,1,2,3,4,5,6,1,1,1,1,1,1,1,0,1,2,1,3,4,5,2,-1,-1,1
5,202,1,1,1,0,1,2,1,3,4,5,1,0,0,0,1,0,0,0,1,2,1,3,4,5,3,-1,-1,1
6,202,2,2,2,0,1,2,1,3,4,5,0,0,0,0,0,0,0,0,1,2,1,3,4,5,3,-1,-1,1
2,203,1,1,1,0,1,2,3,4,5,6,1,1,0,0,0,0,0,0,0,1,2,3,4,5,1,-1,-1,1.5
3,203,0,0,0,0,0,1,2,3,4,5,1,1,0,1,0,0,0,0,0,1,2,3,4,5,1,-1,-1,1.5
4,203,0,1,1,0,0,1,2,3,4,5,1,1,1,0,0,0,0,0,0,0,1,2,3,4,1,-1,0,2
5,203,0,1,0,0,0,0,1,2,3,4,1,0,0,1,0,0,0,0,0,0,1,2,3,1,1,-1,0,2
6,203,0,0,1,0,0,0,1,2,3,1,1,0,0,0,0,1,0,0,1,1,2,3,0,2,1,-1,3,1.5
7,203,1,0,1,0,1,1,2,3,0,2,1,1,0,0,0,0,0,0,1,1,1,2,0,1,2,-1,3,1.5
8,203,1,0,1,0,1,1,1,2,0,1,1,0,0,0,0,0,1,0,1,2,1,3,0,2,3,-1,3,1.5
9,203,2,2,2,0,1,2,1,3,0,2,0,0,0,0,0,0,0,0,1,2,1,3,0,2,3,-1,3,1.5
2,204,1,1,1,0,1,2,3,4,5,6,1,0,0,0,0,0,1,0,1,2,3,4,5,0,1,-1,2,1.5
3,204,2,2,2,0,1,2,3,4,5,0,0,0,0,0,0,0,0,0,1,2,3,4,5,0,2,-1,2,1.5
2,205,1,0,0,0,1,2,3,4,5,6,1,1,0,0,0,0,1,0,0,1,2,3,4,0,1,-1,-1,1
3,205,0,0,0,0,0,1,2,3,4,0,1,0,0,0,0,0,1,0,0,1,2,3,4,0,1,-1,-1,1
4,205,1,1,1,0,0,1,2,3,4,0,1,1,0,1,0,0,1,0,0,1,0,2,3,0,2,-1,-1,1.75
5,205,2,2,2,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,-1,-1,1.75
2,206,1,1,1,0,1,2,3,4,5,6,1,0,0,0,0,0,1,0,1,2,3,4,5,0,1,-1,2,1.5
3,206,2,2,2,0,1,2,3,4,5,0,0,0,0,0,0,0,0,0,1,2,3,4,5,0,2,-1,2,1.5
2,207,1,1,0,0,1,2,3,4,5,6,1,1,0,1,0,0,1,0,0,1,0,2,3,0,1,-1,-1,1.75
3,207,2,2,2,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,2,-1,-1,1.75
2,208,1,1,0,0,1,2,3,4,5,6,1,1,0,1,0,1,0,0,1,2,1,3,0,4,1,-1,3,1.5
3,208,1,1,1,0,1,2,1,3,0,4,1,1,0,1,0,1,0,0,1,2,1,3,0,4,2,-1,3,1.5
4,208,1,0,0,0,1,2,1,3,0,4,1,1,1,0,0,0,1,0,1,2,1,3,0,4,3,-1,3,1.5
5,208,1,0,0,0,1,2,1,3,0,4,1,0,1,0,0,0,1,0,1,0,1,2,3,0,4,-1,-1,1.33
6,208,0,1,1,0,1,0,1,2,3,0,1,0,0,0,0,0,1,0,1,2,1,3,4,0,4,-1,2,1.5
7,208,1,1,1,0,1,2,1,3,4,0,1,0,0,0,1,0,1,0,1,2,1,3,4,0,5,-1,2,1.5
8,208,1,0,0,0,1,2,1,3,4,0,1,0,1,0,0,1,1,0,1,2,1,3,2,0,6,0,2,1.5
9,208,1,1,1,0,1,2,1,3,2,0,1,0,0,0,1,0,1,0,1,2,1,3,2,0,7,0,2,1.5
10,208,1,1,1,0,1,2,1,3,2,0,1,1,0,1,0,0,0,0,1,2,1,3,2,0,8,0,2,1.5
11,208,2,2,2,0,1,2,1,3,2,0,0,0,0,0,0,0,0,0,1,2,1,3,2,0,8,0,2,1.5
2,3,1,1,1,0,1,2,3,4,5,6,1,1,0,0,0,0,0,0,0,1,2,3,4,5,1,-1,-1,1.5
3,3,0,1,1,0,0,1,2,3,4,5,1,1,0,1,0,0,0,0,0,1,0,2,3,4,1,-1,-1,1.666666667
4,3,1,1,1,0,0,1,0,2,3,4,1,1,0,1,1,0,0,0,0,1,0,2,3,4,2,-1,-1,1.666666667
5,3,1,1,1,0,1,2,1,3,4,5,1,0,0,0,0,1,0,0,1,2,1,3,0,4,3,-1,3,1.5
6,3,1,1,1,0,1,2,1,3,0,2,1,0,0,0,1,1,0,0,1,2,1,3,0,2,4,3,3,1.5
7,3,1,1,0,0,1,2,1,3,0,2,1,1,0,1,1,0,0,0,1,2,1,3,0,2,5,3,3,1.5
8,3,2,2,2,0,1,2,1,3,0,2,0,0,0,0,0,0,0,0,1,2,1,3,0,2,8,3,3,1.5
2,4,1,1,1,0,1,2,3,4,5,6,1,0,0,0,0,0,1,0,1,2,3,4,5,0,1,-1,2,1.5
3,4,0,1,0,0,1,2,3,4,5,0,1,0,0,1,0,0,0,0,1,2,3,4,5,0,1,-1,2,1.5
4,4,1,1,1,0,1,2,3,4,5,0,1,0,0,0,1,0,1,0,1,2,3,4,5,0,2,-1,2,1.5
5,4,0,1,0,0,1,2,3,4,5,0,1,1,0,0,0,0,0,0,1,2,3,4,5,0,2,-1,2,1.5
6,4,1,1,0,0,1,2,3,4,5,0,1,1,0,1,0,0,1,0,0,1,0,2,3,0,3,-1,-1,1.75
7,4,1,0,0,0,0,1,0,2,3,0,1,1,0,1,1,1,1,0,0,1,0,2,3,0,4,-1,-1,1.75
8,4,1,0,0,0,0,1,0,2,3,0,1,1,1,1,0,1,1,0,0,1,0,2,3,0,5,-1,-1,1.75
9,4,2,2,2,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,8,-1,-1,1.75
2,5,1,1,0,0,1,2,3,4,5,6,1,1,0,0,1,0,0,0,1,2,3,4,5,6,1,-1,-1,1
3,5,0,1,1,0,1,2,3,4,5,6,1,0,0,0,0,1,0,0,1,2,3,4,0,5,1,-1,3,1.5
4,5,0,1,0,0,1,2,3,4,0,3,1,1,0,0,0,0,0,0,1,2,3,4,0,3,2,-1,3,1.5
5,5,2,2,2,0,1,2,3,4,0,3,0,0,0,0,0,0,0,0,1,2,3,4,0,3,3,-1,3,1.5
2,6,1,1,0,0,1,2,3,4,5,6,1,1,1,0,0,0,0,0,0,0,1,2,3,4,1,-1,0,2
3,6,0,1,0,0,0,0,1,2,3,1,1,0,0,0,0,0,1,0,0,0,1,2,3,1,1,-1,0,2
4,6,1,0,1,0,0,0,1,2,3,1,1,1,1,0,1,0,0,0,0,0,1,2,3,1,2,-1,0,2
5,6,1,0,0,0,0,0,1,2,1,1,1,1,1,1,0,0,1,0,0,0,1,2,1,1,3,0,0,2
6,6,1,0,0,0,0,0,1,2,1,1,1,1,1,1,0,1,0,0,0,0,1,2,1,1,4,0,0,2
7,6,0,1,0,0,0,0,1,2,1,1,1,0,0,0,0,0,1,0,0,0,1,2,1,1,6,0,0,2
8,6,0,1,0,0,0,0,1,2,1,1,1,0,0,0,0,0,1,0,0,0,1,2,1,1,9,0,0,2
9,6,2,2,2,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,9,0,0,2
2,7,1,1,0,0,1,2,3,4,5,6,1,0,0,0,1,0,1,0,1,2,3,4,5,6,1,-1,-1,1
3,7,1,1,1,0,1,2,3,4,5,6,1,0,0,0,0,0,1,0,1,2,3,4,5,0,2,-1,2,1.5
4,7,0,1,0,0,1,2,3,4,5,0,1,0,0,0,0,1,0,0,1,2,3,4,5,0,2,-1,2,1.5
5,7,0,0,1,0,1,2,3,4,5,0,1,1,0,0,0,0,0,0,0,1,2,3,4,5,4,-1,-1,1.5
6,7,1,1,1,0,0,1,2,3,4,5,1,1,1,0,0,0,0,0,0,0,1,2,3,4,5,-1,0,2
7,7,0,1,0,0,0,0,1,2,3,4,1,0,0,1,0,0,0,0,0,0,1,2,3,4,5,-1,0,2
8,7,0,1,0,0,0,0,1,2,3,4,1,0,0,0,0,1,0,0,0,0,1,2,3,4,6,-1,0,2
9,7,2,2,2,0,0,0,1,2,3,4,0,0,0,0,0,0,0,0,0,0,1,2,3,4,6,-1,0,2
2,8,1,1,0,0,1,2,3,4,5,6,1,1,0,1,1,1,0,0,1,2,3,4,5,6,1,-1,-1,1
3,8,1,1,0,0,1,2,3,4,5,2,1,1,0,1,1,0,0,0,1,2,3,4,5,2,2,-1,-1,1
4,8,1,1,0,0,1,2,3,4,5,2,1,1,0,1,1,0,1,0,1,2,3,4,5,2,3,-1,-1,1
5,8,0,1,1,0,1,2,3,4,5,2,1,0,0,0,0,1,0,0,1,2,3,4,0,2,3,-1,3,1.5
6,8,1,1,0,0,1,2,3,4,0,2,1,1,0,1,0,0,0,0,0,1,0,2,3,1,4,-1,-1,1.666666667
7,8,0,1,1,0,0,1,0,2,3,1,1,1,0,1,0,1,0,0,0,1,0,2,0,1,4,-1,-1,1.75
8,8,2,2,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,4,-1,-1,1.75
2,9,1,1,1,0,1,2,3,4,5,6,1,0,0,0,0,0,1,0,1,2,3,4,5,0,1,-1,2,1.5
3,9,1,0,1,0,1,2,3,4,5,0,1,0,1,0,0,0,1,0,1,2,3,4,5,0,2,-1,2,1.5
4,9,1,1,1,0,1,2,3,4,2,0,1,0,0,0,1,0,1,0,1,2,3,4,2,0,3,-1,2,1.5
5,9,2,2,2,0,1,2,1,3,2,0,0,0,0,0,0,0,0,0,1,2,1,3,2,0,6,2,2,1.5
